Iterations,SensorVal1,SensorVal2,SensorVal3,SensorVal4,object
1,0.0,0.0,1.79,1.77,stapler
2,0.0,0.0,1.79,1.77,stapler
3,0.0,0.0,1.79,1.77,stapler
4,0.0,0.0,1.79,1.77,stapler
5,0.0,0.0,1.79,1.78,stapler
6,0.0,0.0,1.79,1.77,stapler
7,0.0,0.0,1.79,1.77,stapler
8,0.0,0.0,1.79,1.77,stapler
9,0.0,0.0,1.79,1.78,stapler
10,0.0,0.0,1.79,1.78,stapler
11,0.0,0.0,1.68,1.67,stapler
12,0.44,0.88,1.57,1.6,stapler
13,1.93,1.96,1.57,1.6,stapler
14,2.17,2.42,1.57,1.6,stapler
15,2.39,2.47,1.57,1.6,stapler
16,2.29,2.2,1.57,1.6,stapler
17,2.31,2.09,1.57,1.6,stapler
18,2.33,2.06,1.57,1.6,stapler
19,2.34,2.06,1.56,1.6,stapler
20,2.34,2.05,1.57,1.59,stapler
21,2.35,2.06,1.57,1.59,stapler
22,2.35,2.07,1.57,1.6,stapler
23,2.35,2.05,1.56,1.6,stapler
24,2.35,2.05,1.57,1.58,stapler
25,2.36,2.05,1.57,1.6,stapler
26,2.36,2.06,1.57,1.6,stapler
27,2.36,2.04,1.57,1.6,stapler
28,2.36,2.05,1.58,1.6,stapler
29,2.36,2.06,1.58,1.6,stapler
30,2.36,2.06,1.58,1.6,stapler
31,2.37,2.07,1.58,1.6,stapler
32,2.37,2.06,1.57,1.6,stapler
33,2.38,2.08,1.58,1.6,stapler
34,2.38,2.07,1.58,1.6,stapler
35,2.37,2.07,1.57,1.6,stapler
36,2.38,2.07,1.57,1.6,stapler
37,2.38,2.07,1.58,1.6,stapler
38,2.38,2.07,1.57,1.6,stapler
39,2.38,2.07,1.57,1.6,stapler
40,2.39,2.07,1.58,1.6,stapler
41,2.38,2.08,1.58,1.6,stapler
42,2.38,2.08,1.58,1.6,stapler
43,2.38,2.08,1.58,1.6,stapler
44,2.38,2.08,1.58,1.6,stapler
45,2.39,2.08,1.58,1.6,stapler
46,2.38,2.08,1.58,1.6,stapler
47,2.38,2.08,1.57,1.6,stapler
48,2.38,2.08,1.58,1.6,stapler
49,2.38,2.08,1.58,1.61,stapler
50,2.38,2.09,1.58,1.6,stapler
51,2.39,2.08,1.58,1.6,stapler
52,2.38,2.08,1.58,1.6,stapler
53,2.39,2.08,1.58,1.6,stapler
54,2.39,2.09,1.58,1.6,stapler
55,2.38,2.09,1.58,1.6,stapler
56,2.39,2.09,1.58,1.6,stapler
57,2.38,2.09,1.58,1.6,stapler
58,2.38,2.09,1.58,1.6,stapler
59,2.39,2.09,1.58,1.6,stapler
60,2.38,2.09,1.59,1.6,stapler
61,2.39,2.09,1.58,1.6,stapler
62,2.39,2.09,1.58,1.6,stapler
63,2.38,2.09,1.59,1.6,stapler
64,2.38,2.09,1.58,1.61,stapler
65,2.38,2.09,1.58,1.6,stapler
66,2.39,2.09,1.58,1.61,stapler
67,2.38,2.09,1.59,1.6,stapler
68,2.38,2.09,1.58,1.6,stapler
69,2.38,2.1,1.59,1.6,stapler
70,2.38,2.1,1.59,1.6,stapler
71,2.39,2.09,1.58,1.61,stapler
72,2.38,2.1,1.58,1.6,stapler
73,2.39,2.1,1.59,1.6,stapler
74,2.39,2.1,1.58,1.6,stapler
75,2.39,2.1,1.58,1.6,stapler
76,2.38,2.1,1.59,1.6,stapler
77,2.39,2.09,1.59,1.61,stapler
78,2.39,2.09,1.58,1.61,stapler
79,2.39,2.1,1.58,1.61,stapler
80,2.39,2.1,1.59,1.6,stapler
81,2.38,2.1,1.59,1.6,stapler
82,2.38,2.1,1.59,1.6,stapler
83,2.39,2.1,1.59,1.61,stapler
84,2.39,2.1,1.59,1.61,stapler
85,2.39,2.1,1.59,1.6,stapler
86,2.38,2.1,1.59,1.6,stapler
87,2.39,2.1,1.58,1.61,stapler
88,2.39,2.1,1.58,1.61,stapler
89,2.39,2.1,1.59,1.6,stapler
90,2.39,2.1,1.58,1.61,stapler
91,2.39,2.1,1.58,1.61,stapler
92,2.39,2.1,1.58,1.61,stapler
93,2.39,2.11,1.59,1.6,stapler
94,2.39,2.11,1.59,1.6,stapler
95,2.39,2.11,1.59,1.61,stapler
96,2.39,2.11,1.59,1.6,stapler
97,2.39,2.1,1.58,1.6,stapler
98,2.39,2.11,1.59,1.6,stapler
99,2.39,2.11,1.59,1.6,stapler
100,2.39,2.1,1.58,1.61,stapler
101,2.39,2.1,1.59,1.61,stapler
102,2.39,2.11,1.59,1.6,stapler
103,2.39,2.11,1.58,1.61,stapler
104,2.39,2.11,1.58,1.6,stapler
105,2.39,2.1,1.58,1.61,stapler
106,2.39,2.11,1.59,1.6,stapler
107,2.39,2.11,1.59,1.61,stapler
108,2.39,2.11,1.59,1.61,stapler
109,2.39,2.11,1.59,1.61,stapler
110,2.39,2.11,1.59,1.61,stapler
111,2.39,2.11,1.59,1.6,stapler
112,2.39,2.11,1.59,1.6,stapler
113,2.39,2.11,1.58,1.61,stapler
114,2.39,2.11,1.59,1.61,stapler
115,2.39,2.11,1.59,1.6,stapler
116,2.39,2.11,1.58,1.61,stapler
117,2.39,2.11,1.59,1.61,stapler
